gvkey,from,thru,conm,co_conm,co_tic
24216,19931001,,S&P 1500 Super Composite,AES CORP,AES
1177,19760630,,S&P 1500 Super Composite,AETNA INC,AET
29246,19941001,20171001,S&P 1500 Super Composite,ASTORIA FINANCIAL CORP,AF
13800,20090223,20180401,S&P 1500 Super Composite,ALMOST FAMILY INC,AFAM
62990,20060103,20160403,S&P 1500 Super Composite,AFFYMETRIX INC,AFFX
8431,19910601,,S&P 1500 Super Composite,AMERICAN FINANCIAL GROUP INC,AFG
1449,19910601,,S&P 1500 Super Composite,AFLAC INC,AFL
25180,19941001,,S&P 1500 Super Composite,AGCO CORP,AGCO
27845,20050829,,S&P 1500 Super Composite,ALLERGAN PLC,AGN
15708,19920207,20150322,S&P 1500 Super Composite,ALLERGAN INC,AGN-2
8599,19941001,,S&P 1500 Super Composite,AGILYSYS INC,AGYS
17626,20170619,,S&P 1500 Super Composite,ARMADA HOFFLER PROPERTIES,AHH
157353,20110126,,S&P 1500 Super Composite,ASPEN INSURANCE HOLDINGS LTD,AHL
1487,19800201,,S&P 1500 Super Composite,AMERICAN INTERNATIONAL GROUP,AIG
14084,19910601,,S&P 1500 Super Composite,ALBANY INTL CORP  -CL A,AIN
266257,20080320,20140302,S&P 1500 Super Composite,APOLLO INVESTMENT CORP,AINV
1004,19941001,,S&P 1500 Super Composite,AAR CORP,AIR
13789,20080326,20170423,S&P 1500 Super Composite,AIR METHODS CORP,AIRM
2101,19971006,,S&P 1500 Super Composite,APPLIED INDUSTRIAL TECH INC,AIT
30490,20030314,,S&P 1500 Super Composite,APARTMENT INVST & MGMT CO,AIV
157057,20070410,,S&P 1500 Super Composite,ASSURANT INC,AIZ
4973,19941001,,S&P 1500 Super Composite,ARTHUR J GALLAGHER & CO,AJG
5018,19910601,,S&P 1500 Super Composite,AEROJET ROCKETDYNE HOLDINGS,AJRD
125595,20070712,,S&P 1500 Super Composite,AKAMAI TECHNOLOGIES INC,AKAM
28323,20050526,,S&P 1500 Super Composite,ACADIA REALTY TRUST,AKR
14304,20120214,,S&P 1500 Super Composite,AKORN INC,AKRX
29968,20080701,,S&P 1500 Super Composite,AK STEEL HOLDING CORP,AKS
29751,19940901,,S&P 1500 Super Composite,ALBEMARLE CORP,ALB
7437,20040922,,S&P 1500 Super Composite,ALLETE INC,ALE
11756,20120702,,S&P 1500 Super Composite,ALEXANDER & BALDWIN INC,ALEX
27960,20160523,,S&P 1500 Super Composite,ALAMO GROUP INC,ALG
141384,20090630,,S&P 1500 Super Composite,ALIGN TECHNOLOGY INC,ALGN
175007,20091209,,S&P 1500 Super Composite,ALLEGIANT TRAVEL CO,ALGT
1230,19910601,,S&P 1500 Super Composite,ALASKA AIR GROUP INC,ALK
28349,19950713,,S&P 1500 Super Composite,ALLSTATE CORP,ALL
316056,20131202,,S&P 1500 Super Composite,ALLEGION PLC,ALLE
1633,19980421,,S&P 1500 Super Composite,ANALOGIC CORP,ALOG
24135,20180102,,S&P 1500 Super Composite,ALARM.COM HOLDINGS INC,ALRM
14324,19910601,20151228,S&P 1500 Super Composite,ALTERA CORP,ALTR-1
62263,20120525,,S&P 1500 Super Composite,ALEXION PHARMACEUTICALS INC,ALXN
1468,19891001,20130811,S&P 1500 Super Composite,AMERICAN GREETINGS  -CL A,AM-1
12250,20160301,,S&P 1500 Super Composite,AMAG PHARMACEUTICALS INC,AMAG
1704,19910601,,S&P 1500 Super Composite,APPLIED MATERIALS INC,AMAT
187406,20110701,,S&P 1500 Super Composite,AMC NETWORKS INC,AMCX
1161,19840620,,S&P 1500 Super Composite,ADVANCED MICRO DEVICES,AMD
1598,19910601,,S&P 1500 Super Composite,AMETEK INC,AME
30612,20041025,,S&P 1500 Super Composite,AMEDISYS INC,AMED
65886,20080422,,S&P 1500 Super Composite,AFFILIATED MANAGERS GRP INC,AMG
1602,19911201,,S&P 1500 Super Composite,AMGEN INC,AMGN
144520,20061024,,S&P 1500 Super Composite,AMN HEALTHCARE SERVICES INC,AMN
164708,20051003,,S&P 1500 Super Composite,AMERIPRISE FINANCIAL INC,AMP
20659,20160922,,S&P 1500 Super Composite,AMPHASTAR PHARMACEUTICLS INC,AMPH
118081,20140402,20170821,S&P 1500 Super Composite,ALBANY MOLECULAR RESH INC,AMRI
164572,20090102,,S&P 1500 Super Composite,AMERISAFE INC,AMSF
105365,20071119,,S&P 1500 Super Composite,AMERICAN TOWER CORP,AMT
12379,20131120,,S&P 1500 Super Composite,AMERICAN WOODMARK CORP,AMWD
64768,20051121,,S&P 1500 Super Composite,AMAZON.COM INC,AMZN
9063,20030224,,S&P 1500 Super Composite,AUTONATION INC,AN
1659,20071217,,S&P 1500 Super Composite,ANDERSONS INC,ANDE
10466,20070927,,S&P 1500 Super Composite,ANDEAVOR,ANDV
63643,19980918,,S&P 1500 Super Composite,ABERCROMBIE & FITCH  -CL A,ANF
264387,20141021,,S&P 1500 Super Composite,ANGIODYNAMICS INC,ANGO
28209,20131127,,S&P 1500 Super Composite,ANIKA THERAPEUTICS INC,ANIK
18204,20150203,,S&P 1500 Super Composite,ANI PHARMACEUTICALS INC,ANIP
21828,19941230,20150823,S&P 1500 Super Composite,ANN INC,ANN
162448,20110602,20140430,S&P 1500 Super Composite,ALPHA NATURAL RESOURCES INC,ANRZQ
63080,20020222,,S&P 1500 Super Composite,ANSYS INC,ANSS
145046,20020725,,S&P 1500 Super Composite,ANTHEM INC,ANTM
3937,19950905,20150209,S&P 1500 Super Composite,ALLIANCE ONE INTL INC,AOI
183920,20091210,20150625,S&P 1500 Super Composite,AOL INC,AOL
3221,19910601,,S&P 1500 Super Composite,AON PLC,AON
9771,19941001,,S&P 1500 Super Composite,SMITH (A O) CORP,AOS
1678,19910601,,S&P 1500 Super Composite,APACHE CORP,APA
11923,19910601,,S&P 1500 Super Composite,ANADARKO PETROLEUM CORP,APC
1209,19850410,,S&P 1500 Super Composite,AIR PRODUCTS & CHEMICALS INC,APD
178797,20090313,,S&P 1500 Super Composite,AMERICAN PUBLIC EDUCATION,APEI
14282,20041001,,S&P 1500 Super Composite,AMPHENOL CORP,APH
1686,19950619,,S&P 1500 Super Composite,APOGEE ENTERPRISES INC,APOG
31122,19990104,20151130,S&P 1500 Super Composite,APOLLO EDUCATION GROUP INC,APOL
118122,20121224,,S&P 1500 Super Composite,APTIV PLC,APTV
27338,20160801,20160801,S&P 1500 Super Composite,APTEVO THERAPEUTICS INC,APVO
142748,20010402,20130929,S&P 1500 Super Composite,ARBITRON INC,ARB
1743,19941001,,S&P 1500 Super Composite,ARCBEST CORP,ARCB
14793,20010725,20150630,S&P 1500 Super Composite,ARCH COAL INC,ARCH
64821,20071204,,S&P 1500 Super Composite,ALEXANDRIA R E EQUITIES INC,ARE
178798,20110707,20151110,S&P 1500 Super Composite,APPROACH RESOURCES INC,AREX
12950,19960816,20160522,S&P 1500 Super Composite,AIRGAS INC,ARG
183606,20170428,,S&P 1500 Super Composite,APOLLO COMMERCIAL RE FIN INC,ARI
28192,20161101,,S&P 1500 Super Composite,ARCONIC INC,ARNC
65009,19991013,,S&P 1500 Super Composite,ARCHROCK INC,AROC
147661,20040708,20150630,S&P 1500 Super Composite,ARO LIQUIDATION INC,AROPQ
63789,20010309,20140528,S&P 1500 Super Composite,ARQULE INC,ARQL
183822,20170918,,S&P 1500 Super Composite,ARMOUR RESIDENTIAL REIT INC,ARR
28853,20070405,,S&P 1500 Super Composite,ARRIS INTERNATIONAL PLC,ARRS
1773,19930401,,S&P 1500 Super Composite,ARROW ELECTRONICS INC,ARW
11842,19971028,,S&P 1500 Super Composite,ASSOCIATED BANC-CORP,ASB
1554,20090120,20160912,S&P 1500 Super Composite,AMERICAN SCIENCE ENGINEERING,ASEI
25749,20000515,20180401,S&P 1500 Super Composite,ASGN INC,ASGN
25749,20180403,,S&P 1500 Super Composite,ASGN INC,ASGN
1794,19890801,,S&P 1500 Super Composite,ASHLAND GLOBAL HOLDINGS INC,ASH
28070,20161003,,S&P 1500 Super Composite,ADVANSIX INC,ASIX
4072,19941001,,S&P 1500 Super Composite,ASCENA RETAIL GROUP INC,ASNA
12262,19941001,,S&P 1500 Super Composite,ASTEC INDUSTRIES INC,ASTE
3905,19951115,,S&P 1500 Super Composite,ADTALEM GLOBAL EDUCATION INC,ATGE
10405,19781001,,S&P 1500 Super Composite,ALLEGHENY TECHNOLOGIES INC,ATI
29274,20010306,20140504,S&P 1500 Super Composite,ATMI INC,ATMI
23767,19941001,20160406,S&P 1500 Super Composite,ATMEL CORP,ATML
24708,20101015,,S&P 1500 Super Composite,ATN INTERNATIONAL INC,ATNI
4383,19941001,,S&P 1500 Super Composite,ATMOS ENERGY CORP,ATO
28176,19960531,,S&P 1500 Super Composite,APTARGROUP INC,ATR
1706,20090102,,S&P 1500 Super Composite,ACTUANT CORP  -CL A,ATU
12485,20101220,20160623,S&P 1500 Super Composite,ALTICE USA INC,ATUS
180405,20150831,,S&P 1500 Super Composite,ACTIVISION BLIZZARD INC,ATVI
1860,19991229,20171005,S&P 1500 Super Composite,ATWOOD OCEANICS,ATW
11304,20000726,,S&P 1500 Super Composite,AVISTA CORP,AVA
176362,20090120,,S&P 1500 Super Composite,AEROVIRONMENT INC,AVAV
29875,20070110,,S&P 1500 Super Composite,AVALONBAY COMMUNITIES INC,AVB
1585,20090121,,S&P 1500 Super Composite,AMERICAN VANGUARD CORP,AVD
180711,20140508,,S&P 1500 Super Composite,BROADCOM INC,AVGO
27925,19980618,20140302,S&P 1500 Super Composite,AVID TECHNOLOGY INC,AVID
180659,20140904,20150401,S&P 1500 Super Composite,AVIV REIT INC,AVIV
1920,19670517,,S&P 1500 Super Composite,AVON PRODUCTS,AVP
1919,19910601,,S&P 1500 Super Composite,AVNET INC,AVT
1913,19871201,,S&P 1500 Super Composite,AVERY DENNISON CORP,AVY
179437,20160304,,S&P 1500 Super Composite,AMERICAN WATER WORKS CO INC,AWK
9849,19941001,,S&P 1500 Super Composite,AMERICAN STATES WATER CO,AWR
6196,19961223,,S&P 1500 Super Composite,ANIXTER INTL INC,AXE
117861,20160531,,S&P 1500 Super Composite,AMERICAN AXLE & MFG HOLDINGS,AXL
1447,19760601,,S&P 1500 Super Composite,AMERICAN EXPRESS CO,AXP
146017,20011203,,S&P 1500 Super Composite,ACUITY BRANDS INC,AYI
23809,19970102,,S&P 1500 Super Composite,AUTOZONE INC,AZO
1926,20090317,,S&P 1500 Super Composite,AZZ INC,AZZ
2049,19980122,,S&P 1500 Super Composite,BARNES GROUP INC,B
2285,19670101,,S&P 1500 Super Composite,BOEING CO,BA
144436,20080716,,S&P 1500 Super Composite,NATUS MEDICAL INC,BABY
7647,19760601,,S&P 1500 Super Composite,BANK OF AMERICA CORP,BAC
149618,20160330,,S&P 1500 Super Composite,BANC OF CALIFORNIA INC,BANC
61487,20121128,,S&P 1500 Super Composite,BANNER CORP,BANR
137024,20071019,20161003,S&P 1500 Super Composite,BASIC ENERGY SERVICES INC,BAS
2086,19720913,,S&P 1500 Super Composite,BAXTER INTERNATIONAL INC,BAX
25338,19960205,,S&P 1500 Super Composite,BED BATH & BEYOND INC,BBBY
26012,19990706,20171129,S&P 1500 Super Composite,BLACK BOX CORP,BBOX
11856,19971204,,S&P 1500 Super Composite,BB&T CORP,BBT
2184,19950316,,S&P 1500 Super Composite,BEST BUY CO INC,BBY
2444,19730301,,S&P 1500 Super Composite,BRUNSWICK CORP,BC
16486,20140124,,S&P 1500 Super Composite,BOISE CASCADE CO,BCC
187698,20141224,20161003,S&P 1500 Super Composite,BONANZA CREEK ENERGY INC,BCEI
28590,19930701,,S&P 1500 Super Composite,BRINKS CO,BCO
116772,20051116,,S&P 1500 Super Composite,BLUCORA INC,BCOR
1979,20080703,,S&P 1500 Super Composite,BALCHEM CORP  -CL B,BCPC
2044,19750611,20180102,S&P 1500 Super Composite,BARD (C.R.) INC,BCR
28940,19970224,,S&P 1500 Super Composite,BELDEN INC,BDC
2111,19720913,,S&P 1500 Super Composite,BECTON DICKINSON & CO,BDX
1408,19670101,20140430,S&P 1500 Super Composite,BEAM INC,BEAM
179441,20160801,,S&P 1500 Super Composite,BIOTELEMETRY INC,BEAT
21487,20071214,20170418,S&P 1500 Super Composite,B/E AEROSPACE INC,BEAV
138861,20160125,,S&P 1500 Super Composite,BELMOND LTD,BEL
2124,20001205,,S&P 1500 Super Composite,BEL FUSE INC,BELFB
4885,19910601,,S&P 1500 Super Composite,FRANKLIN RESOURCES INC,BEN
2435,19821001,,S&P 1500 Super Composite,BROWN FORMAN CORP,BF-B
28769,20101220,,S&P 1500 Super Composite,SAUL CENTERS INC,BFS
25405,20110718,,S&P 1500 Super Composite,GENERAL CABLE CORP/DE,BGC
145041,20070612,,S&P 1500 Super Composite,BIG 5 SPORTING GOODS CORP,BGFV
2393,19680404,,S&P 1500 Super Composite,BRIGGS & STRATTON,BGG
158743,20110223,,S&P 1500 Super Composite,B&G FOODS INC,BGS
3424,19970926,20180430,S&P 1500 Super Composite,BIGLARI HOLDINGS INC,BH-A
23084,19941001,,S&P 1500 Super Composite,BENCHMARK ELECTRONICS INC,BHE
31774,20170807,,S&P 1500 Super Composite,BRIGHTHOUSE FINANL INC,BHF
32106,20170707,,S&P 1500 Super Composite,BAKER HUGHES A GE CO,BHGE
1976,19670101,20170704,S&P 1500 Super Composite,BAKER HUGHES INC,BHI
1976,20170706,20170706,S&P 1500 Super Composite,BAKER HUGHES INC,BHI
14412,19910601,,S&P 1500 Super Composite,SOTHEBY'S,BID
12123,19960821,,S&P 1500 Super Composite,BIG LOTS INC,BIG
24468,19990301,,S&P 1500 Super Composite,BIOGEN INC,BIIB
2220,20081124,,S&P 1500 Super Composite,BIO-RAD LABORATORIES INC,BIO
29819,20170202,20180307,S&P 1500 Super Composite,BIOVERATIV INC,BIVV
63739,20091014,,S&P 1500 Super Composite,BJ'S RESTAURANTS INC,BJRI
2019,19910601,,S&P 1500 Super Composite,BANK OF NEW YORK MELLON CORP,BK
25234,20080820,,S&P 1500 Super Composite,BUCKLE INC,BKE
2259,19910601,,S&P 1500 Super Composite,BLACK HILLS CORP,BKH
180272,20080703,20140102,S&P 1500 Super Composite,BLACK KNIGHT INC,BKI
61596,19970528,20130826,S&P 1500 Super Composite,BUCKEYE TECHNOLOGIES INC,BKI-1
140983,20060526,20180201,S&P 1500 Super Composite,BANK MUTUAL CORP,BKMU
119314,20080804,,S&P 1500 Super Composite,BOOKING HOLDINGS INC,BKNG
28924,19970728,,S&P 1500 Super Composite,BARNES & NOBLE INC,BKS
23245,20150701,,S&P 1500 Super Composite,TOPBUILD CORP,BLD
124434,20110404,,S&P 1500 Super Composite,BLACKROCK INC,BLK
260893,20070329,,S&P 1500 Super Composite,BLACKBAUD INC,BLKB
1988,19841001,,S&P 1500 Super Composite,BALL CORP,BLL
14650,19910601,20130910,S&P 1500 Super Composite,BMC SOFTWARE INC,BMC
1968,20090624,,S&P 1500 Super Composite,BADGER METER INC,BMI
161013,20071207,20160126,S&P 1500 Super Composite,BIOMED REALTY TRUST INC,BMR
2154,19780701,,S&P 1500 Super Composite,BEMIS CO INC,BMS
2403,19670101,,S&P 1500 Super Composite,BRISTOL-MYERS SQUIBB CO,BMY
23208,20150803,,S&P 1500 Super Composite,BARNES & NOBLE EDUCATION INC,BNED
197956,20130927,20141020,S&P 1500 Super Composite,ANNIE'S INC,BNNY
2282,19910601,20180116,S&P 1500 Super Composite,BOB EVANS FARMS,BOBE
162560,20130919,,S&P 1500 Super Composite,BOFI HOLDING INC,BOFI
2005,19910601,,S&P 1500 Super Composite,BANK OF HAWAII CORP,BOH
29211,20011105,,S&P 1500 Super Composite,BOSTON PRIVATE FINL HOLDINGS,BPFH
176928,20070402,,S&P 1500 Super Composite,BROADRIDGE FINANCIAL SOLUTNS,BR
2352,19970731,,S&P 1500 Super Composite,BRADY CORP,BRC
120774,20160601,20171121,S&P 1500 Super Composite,BROCADE COMMUNICATIONS SYS,BRCD
66708,20000703,20160131,S&P 1500 Super Composite,BROADCOM CORP,BRCM
2025,20071120,20140401,S&P 1500 Super Composite,BRE PROPERTIES INC,BRE
2176,20100216,,S&P 1500 Super Composite,BERKSHIRE HATHAWAY,BRK-B
105670,20030808,,S&P 1500 Super Composite,BROOKLINE BANCORP INC,BRKL
31477,20010215,,S&P 1500 Super Composite,BROOKS AUTOMATION INC,BRKS
12576,20090120,20150823,S&P 1500 Super Composite,BIO REFERENCE LABS,BRLI
15417,20021108,,S&P 1500 Super Composite,BROWN & BROWN INC,BRO
8092,19941001,,S&P 1500 Super Composite,BRISTOW GROUP INC,BRS
25279,19950224,,S&P 1500 Super Composite,BOSTON SCIENTIFIC CORP,BSX
30219,19990622,20140608,S&P 1500 Super Composite,BLYTH INC,BTH
142460,20021001,20150630,S&P 1500 Super Composite,PEABODY ENERGY CORP,BTU
28742,19970717,,S&P 1500 Super Composite,BORGWARNER INC,BWA
157218,20071002,20180204,S&P 1500 Super Composite,BUFFALO WILD WINGS INC,BWLD
22734,20150701,20160602,S&P 1500 Super Composite,BAXALTA INC,BXLT
64925,20060403,,S&P 1500 Super Composite,BOSTON PROPERTIES INC,BXP
14219,20080924,20171031,S&P 1500 Super Composite,BANCORPSOUTH BANK,BXS
14219,20171102,,S&P 1500 Super Composite,BANCORPSOUTH BANK,BXS
29011,20031021,,S&P 1500 Super Composite,BOYD GAMING CORP,BYD
12075,20100301,20141124,S&P 1500 Super Composite,BALLY TECHNOLOGIES INC,BYI
3243,19880501,,S&P 1500 Super Composite,CITIGROUP INC,C
3310,19870701,,S&P 1500 Super Composite,CA INC,CA
10002,19941001,20180212,S&P 1500 Super Composite,CALATLANTIC GROUP INC,CAA
264708,20070913,20170925,S&P 1500 Super Composite,CABELAS INC,CAB
23225,20150701,,S&P 1500 Super Composite,CABLE ONE INC,CABO
2596,20000921,,S&P 1500 Super Composite,CACI INTL INC  -CL A,CACI
3362,19830801,,S&P 1500 Super Composite,CONAGRA BRANDS INC,CAG
2751,19910601,,S&P 1500 Super Composite,CARDINAL HEALTH INC,CAH
25737,19941001,,S&P 1500 Super Composite,CHEESECAKE FACTORY INC,CAKE
2436,19670101,,S&P 1500 Super Composite,CALERES INC,CAL
64275,20081031,,S&P 1500 Super Composite,CAL-MAINE FOODS INC,CALM
60894,20000821,20160403,S&P 1500 Super Composite,CAMERON INTERNATIONAL CORP,CAM
2615,20130625,,S&P 1500 Super Composite,CALAMP CORP,CAMP
3278,20160919,,S&P 1500 Super Composite,AVIS BUDGET GROUP INC,CAR
29155,20170601,,S&P 1500 Super Composite,CARS-COM INC,CARS
28866,20170918,,S&P 1500 Super Composite,META FINANCIAL GROUP INC,CASH
2807,19941001,,S&P 1500 Super Composite,CASEYS GENERAL STORES INC,CASY
2817,19670101,,S&P 1500 Super Composite,CATERPILLAR INC,CAT
264397,20110228,,S&P 1500 Super Composite,CARDTRONICS PLC,CATM
2818,19941001,,S&P 1500 Super Composite,CATO CORP  -CL A,CATO
23500,20051028,,S&P 1500 Super Composite,CATHAY GENERAL BANCORP,CATY
28034,20100715,,S&P 1500 Super Composite,CHUBB LTD,CB
3024,19760601,20160118,S&P 1500 Super Composite,CHUBB CORP,CB-1
3036,19980128,,S&P 1500 Super Composite,CINCINNATI BELL INC,CBB
163987,20090609,20140717,S&P 1500 Super Composite,CBEYOND INC,CBEY
25108,20010530,20150927,S&P 1500 Super Composite,CHRISTOPHER & BANKS CORP,CBK
29082,20170424,,S&P 1500 Super Composite,CBL & ASSOCIATES PPTYS INC,CBL
13839,19960701,,S&P 1500 Super Composite,CAMBREX CORP,CBM
184500,20120214,,S&P 1500 Super Composite,CBOE GLOBAL MARKETS INC,CBOE
260774,20061110,,S&P 1500 Super Composite,CBRE GROUP INC,CBRE
29900,19970303,20170202,S&P 1500 Super Composite,CMTSU LIQUIDATION INC,CBRI
3570,19910601,,S&P 1500 Super Composite,CRACKER BARREL OLD CTRY STOR,CBRL
13714,19940901,,S&P 1500 Super Composite,CBS CORP,CBS
3238,20080606,,S&P 1500 Super Composite,COMMERCE BANCSHARES INC,CBSH
63866,20080318,20150122,S&P 1500 Super Composite,CUBIST PHARMACEUTICALS INC,CBST
2593,19911001,,S&P 1500 Super Composite,CABOT CORP,CBT
16790,20040902,,S&P 1500 Super Composite,COMMUNITY BANK SYSTEM INC,CBU
22741,20150701,,S&P 1500 Super Composite,CHEMOURS CO,CC
13406,20081013,20180311,S&P 1500 Super Composite,CALGON CARBON CORP,CCC
12756,19910601,20160530,S&P 1500 Super Composite,COCA-COLA EUROPEAN PARTNERS,CCE
113490,20120314,,S&P 1500 Super Composite,CROWN CASTLE INTL CORP,CCI
13498,19981222,,S&P 1500 Super Composite,CARNIVAL CORP/PLC (USA),CCL
133726,20001002,,S&P 1500 Super Composite,CABOT MICROELECTRONICS CORP,CCMP
147204,20160301,,S&P 1500 Super Composite,COGENT COMMUNICATIONS HLDGS,CCOI
25600,20150818,20170816,S&P 1500 Super Composite,CARE CAPITAL PPTYS INC,CCP
144396,20030729,,S&P 1500 Super Composite,CROSS COUNTRY HEALTHCARE INC,CCRN
2538,19950110,20170912,S&P 1500 Super Composite,CDI CORP,CDI
21761,20141001,,S&P 1500 Super Composite,CDK GLOBAL INC,CDK
13421,19910601,,S&P 1500 Super Composite,CADENCE DESIGN SYSTEMS INC,CDNS
13189,20080805,,S&P 1500 Super Composite,CEDAR REALTY TRUST INC,CDR
118502,20050705,20170404,S&P 1500 Super Composite,CEB INC,CEB
66379,20021002,,S&P 1500 Super Composite,CAREER EDUCATION CORP,CECO
32372,20171129,,S&P 1500 Super Composite,CONSOL ENERGY INC,CEIX
13599,20061106,,S&P 1500 Super Composite,CELGENE CORP,CELG
25536,20070207,,S&P 1500 Super Composite,CENTRAL GARDEN & PET CO,CENTA
25536,20150921,,S&P 1500 Super Composite,CENTRAL GARDEN & PET CO,CENTA
62516,20010709,,S&P 1500 Super Composite,CENTURY ALUMINUM CO,CENX
12850,19941001,,S&P 1500 Super Composite,CERNER CORP,CERN
135788,20101122,,S&P 1500 Super Composite,CEVA INC,CEVA
163946,20071026,,S&P 1500 Super Composite,CF INDUSTRIES HOLDINGS INC,CF
21825,20160201,,S&P 1500 Super Composite,CITIZENS FINANCIAL GROUP INC,CFG
183257,20090901,20150317,S&P 1500 Super Composite,CAREFUSION CORP,CFN
112626,20130812,20170423,S&P 1500 Super Composite,CARDINAL FINANCIAL CORP,CFNL
3643,19941001,,S&P 1500 Super Composite,CULLEN/FROST BANKERS INC,CFR
29612,20140718,20170515,S&P 1500 Super Composite,CELADON GROUP INC,CGIP
16188,19941001,,S&P 1500 Super Composite,COGNEX CORP,CGNX
30310,19980320,20140204,S&P 1500 Super Composite,CONSOLIDATED GRAPHICS INC,CGX
16781,20091127,,S&P 1500 Super Composite,CITY HOLDING CO,CHCO
23556,20171222,,S&P 1500 Super Composite,COMMUNITY HEALTHCARE TRUST,CHCT
3026,19910601,,S&P 1500 Super Composite,CHURCH & DWIGHT INC,CHD
3028,20160624,,S&P 1500 Super Composite,CHURCHILL DOWNS INC,CHDN
2960,19941001,,S&P 1500 Super Composite,CHEMED CORP,CHE
15197,20160901,,S&P 1500 Super Composite,CHEMICAL FINANCIAL CORP,CHFC
2856,19941001,20130626,S&P 1500 Super Composite,CH ENERGY GROUP INC,CHG
